Day,Sample_Volume,Equipment_Downtime_Percent,Repeat_Error_Rate_Percent,Manual_Processing_Hours,Staff_Available,Equipment_Utilisation_Percent,Turnaround_Time_Hours
208,86,4.7,1.5,2.3,5,68.9,5.4
209,95,6.0,0.5,1.1,11,66.8,3.5
210,111,2.6,2.4,1.0,8,67.3,3.9
211,146,5.9,3.6,3.0,9,85.3,6.9
212,83,4.0,1.9,2.3,6,70.8,4.4
213,121,7.1,2.0,2.4,7,83.3,6.0
214,106,3.3,2.0,1.8,6,83.2,4.4
215,111,6.3,4.1,2.9,3,69.2,8.0
216,148,6.7,2.6,2.5,5,84.5,6.5
217,135,2.5,3.1,2.6,4,81.6,7.5
218,157,8.8,5.4,3.3,3,88.4,8.6
219,116,9.0,1.4,3.2,5,70.3,6.7
220,101,5.2,1.2,1.7,9,55.9,4.4
221,114,7.6,1.8,2.2,7,72.8,6.0
222,127,4.1,2.8,3.5,9,68.7,5.0
223,125,1.0,1.8,2.7,8,75.1,5.6
224,90,0.5,1.5,2.0,8,58.4,4.8
225,123,4.6,4.8,2.6,5,69.2,6.2
226,126,3.5,1.8,2.2,8,76.4,5.1
227,190,4.8,4.1,2.5,8,95.1,7.3
228,173,6.7,6.9,4.1,6,95.0,8.9
229,96,6.7,1.2,2.2,8,81.1,5.7
230,112,1.2,3.5,2.2,8,72.5,4.1
231,79,2.7,1.6,1.8,6,66.1,3.5
232,103,6.7,4.5,2.9,5,63.4,7.2
233,129,1.7,3.2,2.1,5,69.7,6.0
234,154,8.8,3.9,2.8,7,95.3,8.9
235,100,2.0,0.9,1.4,8,60.5,3.5
236,102,4.5,2.0,3.3,6,62.3,5.4
237,60,5.4,1.7,1.9,7,55.7,3.5
238,115,5.8,2.3,1.1,8,70.9,4.6
239,90,5.0,0.9,1.0,8,57.7,3.5
240,105,0.9,0.7,1.8,10,64.4,3.8
241,95,6.9,1.0,1.6,9,73.1,4.2
242,117,2.2,3.1,2.0,5,69.5,5.3
243,71,3.6,2.7,2.3,10,46.5,3.5
244,79,4.6,1.2,2.1,6,69.3,3.5
245,180,7.7,3.7,3.6,9,93.4,8.4
246,84,3.7,1.7,1.5,7,58.9,3.5
247,89,1.1,3.4,2.5,6,54.6,5.0
248,171,3.0,5.7,3.6,4,87.1,9.8
249,200,9.1,4.1,3.8,7,97.6,10.1
250,87,5.1,2.2,2.6,4,75.3,4.3
251,110,5.7,0.5,1.2,9,61.7,3.5
252,130,4.4,2.4,3.2,10,73.4,5.6
253,168,3.7,5.9,3.6,6,94.1,8.2
254,92,5.1,0.5,2.6,8,47.9,3.5
255,113,4.4,0.5,1.9,6,80.1,5.1
256,142,5.2,2.3,2.5,6,73.3,6.2
257,132,3.7,2.5,2.0,8,78.9,6.5
258,109,8.0,3.0,2.5,7,72.4,5.4
259,116,3.0,2.0,2.1,10,77.4,5.1
260,82,3.1,2.7,1.7,6,67.5,3.5
261,113,7.5,0.5,1.6,9,53.3,3.6
262,113,1.3,2.7,1.7,7,66.4,5.0
263,127,5.5,2.2,2.5,8,76.1,6.2
264,104,7.5,2.9,2.1,6,68.8,4.8
265,133,4.3,1.3,2.4,7,81.2,5.5
266,148,6.9,4.1,3.9,7,87.9,6.6
267,124,0.5,3.0,2.8,5,81.5,5.7
268,130,4.5,4.2,3.3,8,74.5,6.7
269,121,2.4,0.5,2.1,8,60.4,4.1
270,120,2.3,2.2,2.5,8,69.8,4.7
271,100,6.2,0.5,1.8,10,67.9,3.5
272,129,2.9,1.9,1.4,10,66.1,3.8
273,117,4.6,3.8,3.4,6,78.5,7.5
274,179,6.2,5.6,3.4,8,97.1,8.3
275,164,2.0,3.7,3.8,6,89.1,6.9
276,131,0.5,3.2,2.3,7,55.9,5.1
277,99,5.1,3.3,2.2,6,59.8,4.1
278,89,0.5,0.5,1.1,10,74.9,3.5
279,153,9.7,4.7,3.7,8,79.1,8.5
280,127,2.4,3.6,2.8,7,62.2,5.6
281,133,9.5,2.6,2.7,9,84.5,7.4
282,71,5.1,1.6,2.9,3,63.4,4.9
283,146,5.5,5.6,4.1,3,93.5,8.6
284,133,7.9,1.9,3.1,8,78.8,6.5
285,89,2.2,0.8,1.2,7,67.9,3.5
286,107,6.6,1.8,1.9,7,72.6,5.0
287,127,2.5,3.3,2.3,5,83.0,6.0
288,121,8.7,2.4,2.9,7,90.2,7.3
289,112,3.7,0.7,2.0,11,74.4,4.4
290,117,0.9,1.5,1.6,8,61.0,3.5
291,113,8.3,3.4,2.3,7,75.0,6.6
292,124,6.3,4.6,1.9,6,84.2,6.1
293,161,5.8,2.6,3.3,6,95.7,6.9
294,50,4.2,1.8,1.0,3,54.0,3.8
295,113,3.9,1.3,2.7,7,80.1,5.0
296,125,6.6,3.5,2.6,9,80.0,6.7
297,128,8.1,3.3,4.1,4,97.4,8.1
298,110,3.6,1.9,2.9,6,66.7,5.4
299,71,10.9,1.5,1.6,5,57.7,5.3
300,129,5.2,3.4,3.4,5,76.6,7.4
301,168,7.0,4.0,2.6,7,85.0,7.9
302,77,12.9,3.0,1.7,3,58.9,6.7
303,144,5.2,3.2,3.0,8,60.9,6.6
304,111,16.4,0.5,1.1,8,67.3,5.3
305,118,11.6,3.5,2.5,7,76.0,7.2
306,91,4.8,2.1,1.9,3,65.8,5.1
307,111,7.0,3.9,2.7,5,86.8,6.5
308,156,7.1,2.3,2.3,9,82.9,7.3
309,136,4.3,2.3,3.5,3,91.8,8.4
310,169,10.9,4.7,3.5,6,91.5,8.7
311,153,17.1,6.5,4.1,5,91.7,9.5
312,132,14.9,3.4,2.6,8,78.6,7.9
313,169,6.9,4.0,3.1,6,99.3,8.6
314,132,16.2,2.4,2.5,8,77.0,7.0
315,143,8.0,4.5,2.1,8,83.4,6.4
316,112,6.1,0.8,2.2,10,71.2,4.5
317,122,4.0,2.0,2.9,7,72.6,5.4
318,100,2.6,2.9,3.4,8,69.8,4.5
319,148,9.9,2.3,3.0,4,100.0,8.0
320,87,4.7,2.4,1.5,9,60.2,3.9
321,142,2.2,3.7,2.7,6,84.5,6.2
322,115,4.8,3.5,2.7,6,82.3,6.6
323,153,6.9,4.4,3.3,7,91.9,8.4
324,141,7.3,3.8,3.2,4,83.4,8.2
325,171,6.4,3.6,4.0,7,72.6,7.5
326,140,6.0,2.4,2.3,9,81.6,6.2
327,76,4.3,0.6,2.2,8,44.3,3.6
328,118,6.1,3.8,3.1,4,86.7,6.1
329,87,2.1,2.3,1.9,7,65.3,4.5
330,105,12.6,3.6,2.0,8,75.5,5.8
331,162,5.6,5.8,5.0,4,83.3,10.8
332,138,4.1,4.1,2.6,5,70.5,7.5
333,100,0.5,0.9,2.1,9,67.8,4.0
334,92,2.7,0.8,1.6,7,65.4,3.9
335,121,4.2,3.4,3.4,8,69.9,5.8
336,86,2.5,0.8,2.0,10,61.4,3.5
337,101,5.4,1.7,1.7,8,86.7,3.5
338,129,6.4,1.8,2.8,8,81.5,5.2
339,152,3.5,1.6,2.6,12,85.9,5.1
340,137,2.2,3.3,2.5,7,85.0,4.6
341,56,2.9,2.5,1.9,6,66.2,3.5
342,129,6.3,1.8,2.8,8,74.4,5.4
343,122,6.7,3.2,2.6,8,59.2,5.5
344,132,6.6,2.6,2.8,6,77.3,5.9
345,165,3.6,4.5,3.8,5,95.2,8.0
346,62,2.5,1.9,1.1,11,45.8,3.5
347,103,9.1,2.8,2.1,8,66.7,5.6
348,137,5.1,3.8,2.6,6,75.3,6.1
349,76,5.2,3.6,2.4,9,69.3,4.1
350,161,4.5,2.7,2.7,7,91.5,6.8
351,130,5.5,2.0,2.9,7,81.6,5.5
352,144,6.6,2.3,2.7,8,84.6,5.7
353,104,6.0,2.8,3.4,5,70.9,6.7
354,143,3.6,0.5,2.3,8,81.3,5.0
355,150,3.5,2.3,2.3,10,71.7,4.6
356,127,0.5,1.3,2.0,8,59.8,4.4
357,127,3.6,3.7,2.9,6,78.2,6.3
358,128,4.0,2.7,2.0,6,79.7,4.4
359,96,2.5,1.0,1.9,6,76.3,4.3
360,116,6.0,2.2,1.3,7,83.8,5.6
361,116,5.6,3.4,2.7,6,84.8,6.4
362,131,0.5,1.2,2.2,9,68.3,5.8
363,148,6.0,3.1,2.6,4,82.9,8.0
364,90,1.7,0.5,2.3,9,66.4,4.4
365,116,7.5,1.1,1.8,6,91.5,7.4
366,161,4.1,3.1,3.6,8,95.7,7.6
367,99,5.0,2.0,2.0,5,77.5,5.2
368,97,2.6,0.8,2.7,9,62.4,4.6
369,126,4.5,2.0,2.8,9,67.6,4.7
370,144,6.0,1.3,2.2,9,84.7,5.6
371,120,3.5,2.8,2.4,4,69.3,5.4
372,157,2.1,4.0,3.4,8,82.4,7.0
373,144,1.9,3.2,2.7,8,79.4,5.4
374,144,5.6,3.9,3.2,4,95.4,7.3
375,136,4.8,1.9,3.5,7,76.3,6.4
376,185,3.4,3.5,3.2,8,75.4,7.1
377,114,6.0,1.7,2.3,8,74.7,3.8
378,64,2.4,1.2,2.0,7,52.3,3.5
379,165,3.8,4.1,3.7,8,86.8,6.5
380,107,3.1,2.7,1.8,10,66.5,3.5
381,123,4.7,2.8,2.2,9,71.0,5.3
382,157,12.4,3.4,2.7,3,94.6,8.7
383,75,7.1,2.1,1.2,6,50.8,4.8
384,85,1.5,2.2,2.1,7,59.9,4.4
385,75,3.8,1.2,2.0,4,68.3,5.0
386,98,4.3,2.6,2.2,7,63.1,5.1
387,132,3.4,2.6,3.1,9,64.3,5.5
388,135,4.7,1.5,2.4,5,85.2,6.9
389,128,2.2,2.7,2.4,8,83.3,5.9
390,80,2.3,2.1,2.1,5,63.7,4.6
391,55,0.6,0.7,1.1,6,41.8,3.5
392,122,1.0,2.1,3.0,10,76.5,3.5
393,107,1.2,1.6,2.9,6,59.5,4.7
394,133,2.8,3.3,2.8,8,79.1,5.5
395,140,6.1,4.4,4.2,4,76.8,8.6
396,124,4.8,1.6,1.4,10,64.1,5.2
397,141,2.8,3.2,2.8,8,76.2,4.9
398,126,4.0,1.6,2.8,7,74.5,6.4
399,135,0.5,1.3,2.2,8,73.0,4.0
400,100,3.6,0.5,2.7,4,75.1,4.4
401,115,11.5,2.4,1.6,9,67.4,5.0
402,126,7.4,2.1,3.1,6,83.7,6.2
403,143,3.9,3.7,3.5,7,82.9,5.8
404,109,6.1,2.8,2.6,6,66.8,6.0
405,135,1.1,2.9,1.9,6,73.4,5.9
406,113,0.5,0.5,1.7,8,59.4,4.5
407,117,6.2,2.6,2.8,7,75.1,5.4
408,143,8.6,4.9,2.8,8,77.4,6.9
409,64,4.1,2.7,1.0,7,40.6,3.5
410,84,2.9,2.7,2.4,8,58.4,5.2
411,78,0.5,1.9,2.0,6,56.1,3.5
412,55,0.5,0.5,1.0,11,61.5,3.5
413,101,3.3,3.4,3.1,4,59.4,5.8
414,141,3.1,2.2,2.3,9,68.2,4.5
415,112,10.9,2.5,1.8,9,77.4,5.1
416,126,16.6,3.3,3.1,5,87.3,7.8
417,150,4.8,3.1,3.6,11,73.8,5.5
418,157,7.1,4.2,3.8,9,78.7,7.2
419,118,11.0,2.7,2.4,9,75.7,6.1
420,158,6.7,4.5,3.5,7,69.1,7.2
421,123,3.2,2.2,3.0,7,61.9,5.1
422,97,3.3,0.5,1.4,7,65.1,3.7
423,103,7.4,3.7,2.4,8,78.7,5.4
424,79,0.8,2.9,1.0,10,55.6,3.5
425,95,10.0,2.6,2.2,7,67.2,5.5
426,110,6.1,1.2,2.5,5,80.9,5.3
427,143,7.6,2.6,3.1,8,94.6,7.6
428,168,6.6,4.3,3.2,9,82.4,7.6
429,81,7.3,2.4,1.0,8,61.2,4.6
430,131,7.9,1.7,2.7,8,89.1,5.4
431,91,0.5,1.5,2.4,7,54.6,3.7
432,133,9.1,3.9,3.2,5,87.1,6.7
433,116,3.1,3.5,2.6,5,67.7,5.3
434,69,3.5,2.2,2.9,4,62.4,5.5
435,146,2.4,1.7,3.2,7,80.1,7.0
436,103,4.4,2.6,2.5,7,62.2,4.2
437,105,2.0,3.5,2.9,6,63.6,5.0
438,90,4.4,2.5,2.7,3,70.9,5.5
439,102,4.3,2.3,1.9,5,77.6,5.5
440,132,8.9,1.3,1.2,9,74.7,3.8
441,115,8.9,1.7,2.3,6,74.0,4.7
442,129,5.3,3.9,3.0,8,79.7,6.4
443,130,4.6,3.7,2.9,4,73.2,5.4
444,157,5.2,3.9,3.3,10,87.3,6.4
445,110,7.3,3.8,2.4,7,76.7,5.9
446,79,4.4,0.7,2.4,8,78.9,4.1
447,150,13.5,2.5,2.4,11,76.4,6.2
448,111,5.7,1.9,2.3,10,65.1,4.2
449,151,5.1,3.3,3.5,6,89.7,7.9
450,131,5.6,4.4,3.7,6,84.0,7.3
451,116,0.6,1.5,1.6,6,70.1,4.0
452,130,6.0,1.5,2.3,8,73.2,5.3
453,175,11.0,5.1,4.0,7,94.3,9.2
454,178,7.5,5.5,4.5,6,86.6,10.2
455,122,7.2,3.1,2.3,10,68.7,5.6
456,124,2.9,2.8,2.4,7,75.8,6.2
457,150,6.4,3.5,3.0,11,86.0,5.8
458,96,1.2,2.2,2.6,7,62.6,4.0
459,129,2.6,1.7,2.1,10,60.8,4.3
460,119,4.7,1.6,2.6,8,59.3,4.9
461,129,3.9,3.0,3.1,9,65.9,4.8
462,97,0.5,2.0,3.3,6,58.9,5.6
463,75,0.5,3.6,2.4,5,61.4,5.0
464,62,0.5,2.2,1.4,8,47.3,3.5
465,89,4.1,1.8,1.7,9,57.8,4.1
466,107,8.1,2.8,2.6,7,64.7,5.7
467,112,7.2,2.6,2.6,5,70.5,6.4
468,174,3.2,3.4,3.8,5,100.0,7.3
469,151,9.5,3.8,2.9,4,90.9,7.9
470,93,6.1,3.0,3.1,4,69.0,5.8
471,130,7.8,2.8,2.1,7,73.8,6.3
472,109,3.0,1.9,1.8,9,65.7,3.7
473,112,6.9,3.3,2.4,7,73.9,4.0
474,125,6.8,3.6,4.2,3,83.6,7.0
475,137,7.6,2.4,2.6,7,72.7,6.1
476,111,5.6,3.4,2.0,7,71.6,5.3
477,150,0.5,3.0,2.3,11,64.8,6.0
478,88,3.5,2.4,3.2,4,68.9,5.7
479,120,18.4,2.4,1.1,6,80.3,6.6
480,193,6.4,3.9,2.9,10,90.9,7.6
481,126,4.9,3.5,4.0,8,87.5,7.2
482,160,7.0,4.4,3.4,8,78.8,7.0
483,123,11.8,5.1,2.0,7,76.4,6.6
484,136,7.8,3.1,2.7,8,77.5,5.5
485,118,6.2,3.0,2.4,8,71.7,6.3
486,115,12.3,1.6,3.0,6,72.7,6.6
487,98,5.3,1.5,2.9,9,66.1,4.0
488,132,6.4,4.7,3.2,5,85.5,7.2
489,96,4.9,1.7,1.7,8,75.4,4.5
490,139,4.6,0.5,3.3,7,79.7,5.7
491,150,3.6,4.0,2.8,6,89.7,6.6
492,130,2.2,4.2,2.1,7,72.1,5.2
493,112,4.4,0.5,1.5,6,78.0,4.9
494,133,5.1,4.3,2.1,5,74.6,6.2
495,111,8.4,0.5,2.0,6,79.9,5.0
496,146,7.2,4.4,2.6,5,99.3,6.8
497,69,5.2,1.3,1.7,8,56.8,3.5
498,111,5.4,0.5,1.9,5,58.0,4.8
499,64,8.2,1.6,1.0,8,52.4,3.5
500,78,5.6,2.8,1.4,5,72.0,4.6
501,158,5.8,4.2,3.1,6,90.3,8.1
502,145,8.6,4.1,2.8,6,84.2,7.8
503,100,5.8,1.6,2.8,9,73.1,4.9
504,78,0.8,0.5,1.3,8,63.8,3.5
505,50,3.5,2.1,1.7,7,61.5,3.5
506,105,8.3,3.7,2.1,8,74.9,4.7
507,188,7.0,6.8,4.2,3,100.0,9.9
508,132,6.2,0.7,2.3,7,80.1,5.5
509,104,5.5,0.5,1.7,11,71.5,3.5
510,133,2.5,1.6,2.3,7,75.8,5.4
511,76,4.1,0.5,1.8,7,56.6,3.5
512,112,13.8,2.5,2.1,8,82.5,4.9
513,123,3.2,2.1,1.8,9,74.4,5.1
514,118,7.9,2.3,3.5,3,83.0,6.8
515,142,6.5,4.9,3.5,4,84.5,7.3
516,130,3.7,3.2,2.5,7,72.9,5.0
517,139,13.5,3.3,3.1,6,80.8,7.8
518,101,4.7,1.2,1.9,9,76.4,5.0
519,145,5.9,1.3,2.6,6,86.4,6.1
520,166,6.5,4.4,3.7,4,78.8,8.2
521,93,2.1,1.7,1.9,5,66.4,5.1
522,95,5.6,2.4,2.0,3,83.0,4.5
523,157,4.9,3.5,2.3,7,83.6,7.9
524,115,0.5,2.1,2.2,7,59.9,6.2
525,159,5.4,4.0,3.7,6,100.0,6.2
526,108,7.9,1.9,1.7,9,73.2,4.5
527,161,6.5,5.4,4.4,9,83.8,7.4
528,124,1.5,2.6,3.1,7,72.6,5.3
529,127,2.7,4.2,3.8,3,87.7,7.1
530,164,5.2,3.9,3.6,8,82.4,7.8
531,110,18.2,2.7,3.2,8,78.0,6.8
